x y vx vy charge mass
-16.5 -8.5 0 0 -0.05 1
-16.5 8.5 0 0 0.05 1
16.5 -8.5 0 0 -0.05 1
16.5 8.5 0 0 0.05 1
-16.5 -9.5 0 0 -0.05 1
-16.5 9.5 0 0 0.05 1
16.5 -9.5 0 0 -0.05 1
16.5 9.5 0 0 0.05 1
-17.5 -0.5 0 0 -0.05 1
-17.5 0.5 0 0 0.05 1
17.5 -0.5 0 0 -0.05 1
17.5 0.5 0 0 0.05 1
-17.5 -1.5 0 0 -0.05 1
-17.5 1.5 0 0 0.05 1
17.5 -1.5 0 0 -0.05 1
17.5 1.5 0 0 0.05 1
-17.5 -2.5 0 0 -0.05 1
-17.5 2.5 0 0 0.05 1
17.5 -2.5 0 0 -0.05 1
17.5 2.5 0 0 0.05 1
-17.5 -3.5 0 0 -0.05 1
-17.5 3.5 0 0 0.05 1
17.5 -3.5 0 0 -0.05 1
17.5 3.5 0 0 0.05 1
-17.5 -4.5 0 0 -0.05 1
-17.5 4.5 0 0 0.05 1
17.5 -4.5 0 0 -0.05 1
17.5 4.5 0 0 0.05 1
-17.5 -5.5 0 0 -0.05 1
-17.5 5.5 0 0 0.05 1
17.5 -5.5 0 0 -0.05 1
17.5 5.5 0 0 0.05 1
-17.5 -6.5 0 0 -0.05 1
-17.5 6.5 0 0 0.05 1
17.5 -6.5 0 0 -0.05 1
17.5 6.5 0 0 0.05 1
-17.5 -7.5 0 0 -0.05 1
-17.5 7.5 0 0 0.05 1
17.5 -7.5 0 0 -0.05 1
17.5 7.5 0 0 0.05 1
-17.5 -8.5 0 0 -0.05 1
-17.5 8.5 0 0 0.05 1
17.5 -8.5 0 0 -0.05 1
